time,polarization
58:48.4,3.85121
58:49.5,4.1058
58:50.5,3.2881
58:51.6,3.56348
58:52.6,3.28502
58:53.7,3.27507
58:54.7,4.35458
58:55.8,3.48049
58:56.8,3.64595
58:57.9,3.91998
58:59.0,3.69804
59:00.0,3.12632
59:01.1,4.40431
59:02.1,4.50422
59:03.2,3.42546
59:04.2,3.409
59:05.3,3.81038
59:06.3,3.6979
59:07.3,2.89581
59:08.4,3.45743
59:09.5,3.20374
59:10.5,3.70291
59:11.6,3.50514
59:12.6,3.01802
59:13.7,2.26827
59:14.7,3.69238
59:15.8,4.17887
59:16.8,3.77293
59:17.9,3.47333
59:18.9,3.26142
59:20.0,3.98843
59:21.0,4.3802
59:22.1,3.74333
59:23.1,3.63939
59:24.2,3.96506
59:25.2,4.10542
59:26.3,3.59122
59:27.3,3.50698
59:28.9,4.63149
59:30.0,4.21755
59:31.0,3.51771
59:32.1,2.65039
59:33.1,5.46661
59:34.1,3.83912
59:35.2,4.44134
59:36.2,3.20572
59:37.3,3.2436
59:38.3,3.80295
59:39.3,2.95907
59:40.4,3.23355
59:41.4,3.55252
59:42.5,3.75225
59:43.6,3.15265
59:44.6,2.49955
59:45.6,2.26364
59:46.7,2.89296
59:47.7,3.48009
59:48.8,4.22301
59:49.8,3.10817
59:50.9,3.99303
59:51.9,3.07503
59:53.0,2.65858
59:54.0,4.31599
59:55.1,4.4582
59:56.1,4.2535
59:57.2,2.30321
59:58.2,3.6243
59:59.3,3.27992
00:00.3,3.62471
00:01.4,3.93619
00:02.4,3.88231
00:03.5,3.73387
00:04.5,3.08823
00:05.6,3.68489
00:06.6,3.2917
00:07.7,3.28218
00:08.7,2.49627
00:09.8,3.69308
00:10.8,3.45347
00:11.9,4.01884
00:12.9,3.47974
00:13.9,2.9776
00:15.0,2.39693
00:16.0,4.02475
00:17.1,3.77108
00:18.1,2.7287
00:19.2,3.96765
00:20.2,3.70116
00:21.2,4.08572
00:22.3,3.63785
00:23.3,3.20696
00:24.4,4.16669
00:25.5,3.33234
00:26.5,3.64322
00:27.6,3.58173
00:28.6,3.47813
00:29.7,3.92287
00:30.7,3.20033
00:31.8,3.28932
00:32.8,3.1826
00:34.0,3.51628
00:35.1,4.29641
00:36.1,2.82621
00:37.2,3.04625
00:38.2,3.95976
00:39.3,3.49357
00:40.3,5.10599
00:41.4,5.43769
00:42.4,4.68982
00:43.5,4.97089
00:44.6,5.60623
00:45.6,6.131
00:46.7,6.17303
00:47.7,6.68811
00:48.8,5.77677
00:49.8,6.29502
00:50.9,9.23632
00:51.9,8.356
00:53.0,8.00836
00:54.0,9.40896
00:55.1,8.88125
00:56.2,8.45893
00:57.2,10.402
00:58.3,12.1526
00:59.3,13.2539
01:00.4,15.7667
01:01.4,17.8626
01:02.5,20.115
01:03.5,23.115
01:04.6,25.2057
01:05.6,28.9296
01:06.7,28.8018
01:07.7,32.558
01:08.8,33.6768
01:09.8,36.5687
01:10.9,38.8688
01:11.9,38.0964
01:13.0,40.9015
01:14.0,41.1294
01:15.1,43.187
01:16.1,44.1739
01:17.2,44.9879
01:18.2,45.8371
01:19.3,46.8792
01:20.3,46.8683
01:21.4,47.7349
01:22.4,47.6907
01:23.5,49.3597
01:24.5,49.1576
01:25.6,49.2211
01:26.6,51.3605
01:27.7,48.9463
01:28.7,50.4833
01:29.8,51.2042
01:30.8,52.7734
01:31.9,51.2936
01:32.9,51.9269
01:34.0,51.4077
01:35.1,52.8075
01:36.1,52.9301
01:37.1,51.5842
01:38.2,52.6396
01:39.2,53.1581
01:40.3,50.4832
01:41.3,53.9631
01:42.4,53.7586
01:43.4,53.0487
01:44.5,53.2892
01:45.5,52.6385
01:46.6,53.7008
01:47.6,52.4008
01:48.7,54.4166
01:49.7,53.2251
01:50.8,53.706
01:51.8,54.4455
01:52.9,53.6768
01:53.9,53.7259
01:55.0,53.6317
01:56.0,54.7354
01:57.1,53.65
01:58.1,54.8562
01:59.2,54.1463
02:00.2,54.0681
02:01.3,55.2163
02:02.3,55.548
02:03.3,55.4186
02:04.4,55.1614
02:05.5,53.7579
02:06.5,53.3985
02:07.5,53.4036
02:08.6,54.8697
02:09.6,54.568
02:10.7,55.536
02:11.7,53.5133
02:12.8,54.4117
02:13.8,53.7397
02:14.9,54.19
02:15.9,53.7959
02:17.0,54.4284
02:18.0,53.4451
02:19.1,54.7624
02:20.1,54.5826
02:21.2,54.5872
02:22.2,54.1869
02:23.3,54.1961
02:24.3,53.6663
02:25.4,54.9369
02:26.4,54.7535
02:27.5,53.0664
02:28.5,54.6336
02:29.5,53.9715
02:30.6,53.8193
02:31.7,55.7352
02:32.7,54.3207
02:33.8,55.0198
02:34.8,52.2571
02:35.9,55.0354
02:36.9,56.2901
02:37.9,55.5736
02:39.0,54.0806
02:40.0,54.405
02:41.1,54.0302
02:42.1,54.6698
02:43.2,54.6729
02:44.2,54.2223
02:45.3,55.9026
02:46.3,54.2279
02:47.4,54.75
02:48.4,53.607
02:49.5,53.9938
02:50.5,55.2868
02:51.6,53.3841
02:52.6,54.4601
02:53.7,54.4245
02:54.7,53.8003
02:55.8,56.6068
02:56.8,54.2528
02:57.9,54.9368
02:58.9,54.8445
03:00.0,53.5761
03:01.0,54.5194
03:02.1,54.4896
03:03.1,54.0091
03:04.2,53.8106
03:05.2,54.0894
03:06.3,54.7923
03:07.3,54.0121
03:08.4,55.0722
03:09.4,54.6762
03:10.5,54.7831
03:11.6,55.3328
03:12.6,54.426
03:13.6,53.7913
03:14.7,54.2469
03:15.8,54.8634
03:16.8,54.6352
03:17.9,54.593
03:18.9,54.9274
03:20.0,53.8123
03:21.0,54.9853
03:22.1,54.7866
03:23.1,55.4367
03:24.2,56.06
03:25.2,54.9866
03:26.3,54.16
03:27.4,54.6487
03:28.4,53.9966
03:29.5,53.8287
03:30.5,56.5085
03:31.6,54.215
03:32.6,55.352
03:33.7,54.1092
03:34.7,54.2069
03:35.8,54.8235
03:36.8,54.5625
03:37.9,54.5056
03:38.9,55.221
03:40.0,53.3118
03:41.0,54.7132
03:42.1,55.4129
03:43.1,54.1993
03:44.2,54.8154
03:45.2,55.8998
03:46.3,54.112
03:47.3,55.329
03:48.4,55.8762
03:49.4,55.717
03:50.4,55.2077
03:51.5,54.5113
03:52.6,54.5822
03:53.6,54.1541
03:54.6,55.4779
03:55.7,54.2071
03:56.7,54.104
03:57.8,53.9036
03:58.8,53.727
03:59.9,55.3387
04:00.9,54.2604
04:02.0,54.8583
04:03.0,54.8202
04:04.1,55.9228
04:05.1,55.3454
04:06.2,54.057
04:07.2,54.9999
04:08.3,54.0855
04:09.3,54.8403
04:10.4,54.0532
04:11.4,55.1364
04:12.5,54.4389
04:13.5,54.9882
04:14.6,53.9729
04:15.6,54.382
04:16.7,54.5632
04:17.7,54.5125
04:18.8,54.9785
04:19.8,55.2567
04:20.9,54.8368
04:21.9,53.7182
04:23.0,54.3385
04:24.0,54.0041
04:25.1,55.3425
04:26.1,55.2376
04:27.1,54.6144
04:28.2,54.4952
04:29.2,54.7311
04:30.3,55.267
04:31.3,54.6836
04:32.4,54.3276
04:33.4,55.3675
04:34.5,55.0546
04:35.5,53.3461
04:36.6,53.9291
04:37.6,53.9574
04:38.7,55.1736
04:39.7,53.7659
04:40.8,53.2754
04:41.8,54.6566
04:42.9,55.8283
