filename,initial_constant_range_min,initial_constant_range_max,buildup_range_min,buildup_range_max,constant_range_min,constant_range_max,decay_range_min,decay_range_max
3W_C8_datagrab1,0.0,35.7,36.7,116.9,117.9,278.2,279.3,928.3
3W_C8_datagrab2,0.0,55.4,56.5,138.7,139.7,368.4,369.5,928.2
3W_C8_datagrab3,0.0,60.9,61.9,160.6,161.6,463.8,464.9,1004.8
3W_C9_datagrab1,0.0,54.6,55.7,172.2,173.2,357.1,358.2,812.2
3W_C9_datagrab2,0.0,50.2,51.3,200.0,201.1,403.3,404.3,821.4
3W_C9_datagrab3,0.0,6.3,7.3,138.7,139.8,438.1,439.2,821.5
3W_C9_datagrab4,0.0,75.7,76.8,155.5,156.6,400.3,401.4,821.0
4W_C8_datagrab1,0.0,131.2,132.2,215.1,677.9,1072.3,216.1,676.8
4W_C8_datagrab2,0.0,160.7,161.8,251.0,686.4,1066.7,252.0,685.3
4W_C8_datagrab3,0.0,171.7,172.7,233.6,260.4,1061.6,234.6,1020.7
4W_C9_datagrab1,0.0,133.3,134.4,197.5,212.2,821.9,198.5,737.8
4W_C9_datagrab2,0.0,97.3,98.3,161.4,162.5,365.1,366.2,821.1
4W_C9_datagrab3,0.0,52.9,53.9,161.1,162.2,403.8,404.9,882.9
5W_C8_datagrab1,0.0,31.5,32.6,89.2,115.5,741.9,90.3,754.5
5W_C8_datagrab2,0.0,88.6,89.6,140.8,472.3,753.7,141.9,471.2
5W_C8_datagrab3,0.0,104.5,105.6,141.2,142.3,348.0,349.0,754.2
5W_C9_datagrab1,0.0,77.7,78.8,148.0,149.1,357.4,358.5,928.1
5W_C9_datagrab2,0.0,53.5,54.5,160.6,161.6,386.3,387.3,928.4
5W_C9_datagrab3,0.0,17.8,18.9,143.1,144.1,415.9,417.0,928.4
6W_C8_datagrab1,0.0,128.9,129.9,187.5,212.7,377.4,188.6,752.9
6W_C8_datagrab2,0.0,98.5,99.6,152.8,153.9,754.4,346.9,739.7
6W_C8_datagrab3,0.0,97.3,98.4,155.2,181.4,753.3,156.2,741.8
6W_C9_datagrab1,0.0,50.4,51.4,99.5,100.6,308.8,309.8,732.3
6W_C9_datagrab2,0.0,46.3,47.3,117.6,118.7,328.6,329.7,731.0
6W_C9_datagrab3,0.0,29.7,30.8,108.3,109.4,324.6,325.6,732.3
7W_C8_datagrab1,0.0,57.8,58.9,133.5,134.6,368.6,369.6,813.9
7W_C8_datagrab2,0.0,70.8,71.9,107.5,577.8,875.1,108.5,576.8
7W_C8_datagrab3,0.0,0.0,55.1,112.9,0.0,744.3,113.9,875.6
7W_C9_datagrab1,0.0,43.1,63.0,99.7,44.1,301.0,100.7,686.1
7W_C9_datagrab2,0.0,39.6,40.6,148.8,149.9,351.3,352.4,749.7
7W_C9_datagrab3,0.0,74.9,76.0,129.6,130.6,749.7,322.6,631.4
8W_C8_datagrab1,0.0,152.1,153.2,214.4,586.0,875.8,215.4,584.9
8W_C8_datagrab2,0.0,114.4,115.4,171.1,192.2,413.8,172.1,876.0
8W_C8_datagrab3,0.0,115.3,116.3,196.0,569.8,875.5,197.0,568.7
8W_C9_datagrab1,0.0,112.4,113.4,178.6,215.3,875.9,179.6,748.8
8W_C9_datagrab2,0.0,57.4,58.4,141.2,142.3,369.2,370.3,876.4
8W_C9_datagrab3,0.0,81.5,82.9,171.2,172.2,362.2,363.2,876.2
