filename,power,cell,datagrab,ml_ic_min,ml_ic_max,ml_bu_min,ml_bu_max,ml_pl_min,ml_pl_max,ml_dc_min,ml_dc_max,dv_ic_min,dv_ic_max,dv_bu_min,dv_bu_max,dv_pl_min,dv_pl_max,dv_dc_min,dv_dc_max,agree_gmm_hmm,agree_hmm_pelt,agree_gmm_pelt,agree_all_three,delta_ic_left,delta_ic_right,delta_bu_left,delta_bu_right,delta_pl_left,delta_pl_right,delta_dc_left,delta_dc_right
3W_C8_datagrab1,3W,C8,datagrab1,0.0,35.7,36.7,116.9,117.9,278.2,279.3,928.3,0.0,23.1,33.1,114.8,114.8,280.3,280.3,928.3,0.6,0.2,0.1,0.1,0.0,12.6,3.6,2.1,3.1,-2.1,-1.0,0.0
3W_C8_datagrab2,3W,C8,datagrab2,0.0,55.4,56.5,138.7,139.7,368.4,369.5,928.2,0.0,54.4,64.4,140.8,140.8,370.5,370.5,928.2,0.7,0.7,0.4,0.4,0.0,1.0,-7.9,-2.1,-1.1,-2.1,-1.0,0.0
3W_C8_datagrab3,3W,C8,datagrab3,0.0,60.9,61.9,160.6,161.6,463.8,464.9,1004.8,0.0,59.8,69.8,154.3,154.3,467.0,467.0,1004.8,0.7,0.7,0.4,0.4,0.0,1.1,-7.9,6.3,7.3,-3.2,-2.1,0.0
3W_C9_datagrab1,3W,C9,datagrab1,0.0,54.6,55.7,172.2,173.2,357.1,358.2,812.2,0.0,47.3,57.3,172.2,172.2,358.2,359.2,812.2,0.7,0.5,0.7,0.4,0.0,7.3,-1.6,0.0,1.0,-1.1,-1.0,0.0
3W_C9_datagrab2,3W,C9,datagrab2,0.0,50.2,51.3,200.0,201.1,403.3,404.3,821.4,0.0,31.4,41.4,205.3,205.3,400.2,401.2,821.4,0.7,0.6,0.4,0.3,0.0,18.8,9.9,-5.3,-4.2,3.1,3.1,0.0
3W_C9_datagrab3,3W,C9,datagrab3,0.0,6.3,7.3,138.7,139.8,438.1,439.2,821.5,0.0,8.4,18.4,141.9,141.9,420.0,422.0,821.5,0.4,0.8,0.3,0.3,0.0,-2.1,-11.1,-3.2,-2.1,18.1,17.2,0.0
3W_C9_datagrab4,3W,C9,datagrab4,0.0,75.7,76.8,155.5,156.6,400.3,401.4,821.0,0.0,69.4,79.4,193.3,193.3,399.3,401.4,821.0,0.7,0.5,0.8,0.5,0.0,6.3,-2.6,-37.8,-36.7,1.0,0.0,0.0
4W_C8_datagrab1,4W,C8,datagrab1,0.0,131.2,132.2,215.1,677.9,1072.3,216.1,676.8,0.0,114.5,124.5,200.4,200.4,465.9,465.9,1072.3,0.3,0.6,0.3,0.2,0.0,16.7,7.7,14.7,477.5,606.4,-249.8,-395.5
4W_C8_datagrab2,4W,C8,datagrab2,0.0,160.7,161.8,251.0,686.4,1066.7,252.0,685.3,0.0,157.6,167.6,243.6,243.6,483.5,484.5,1066.7,0.4,0.6,0.3,0.3,0.0,3.1,-5.8,7.4,442.8,583.2,-232.5,-381.4
4W_C8_datagrab3,4W,C8,datagrab3,0.0,171.7,172.7,233.6,260.4,1061.6,234.6,1020.7,0.0,169.6,179.6,257.3,257.3,497.7,498.7,1061.6,0.4,0.4,0.9,0.4,0.0,2.1,-6.9,-23.7,3.1,563.9,-264.1,-40.9
4W_C9_datagrab1,4W,C9,datagrab1,0.0,133.3,134.4,197.5,212.2,821.9,198.5,737.8,0.0,125.0,135.0,231.1,231.1,419.1,420.2,821.9,0.4,0.3,0.7,0.3,0.0,8.3,-0.6,-33.6,-18.9,402.8,-221.7,-84.1
