cell,power_W,P_max_mean,P_max_sfit,P_max_srms,P_max_stot,tau_b_mean,tau_b_sfit,tau_b_srms,tau_b_stot,tau_decay_mean,tau_decay_sfit,tau_decay_srms,tau_decay_stot,n
C8,3,53.4116,0.0280,0.4243,0.4252,16.9233,0.2203,0.2007,0.2980,109.6905,0.2785,0.4849,0.5592,3.0000
C9,3,58.5348,0.0461,1.5091,1.5099,30.0818,0.1820,0.8201,0.8401,103.0346,0.3062,0.0661,0.3132,3.0000
C8,4,55.7778,0.0268,0.0504,0.0571,15.5762,0.1824,0.7594,0.7810,117.6958,0.3372,0.8939,0.9554,3.0000
C9,4,66.8268,0.0504,0.2406,0.2459,21.6212,0.1328,0.5113,0.5282,98.6368,0.2396,0.5887,0.6356,3.0000
C8,5,55.2737,0.0288,0.0898,0.0943,12.1337,0.1093,0.5696,0.5800,102.3806,0.3037,0.2597,0.3996,3.0000
C9,5,68.7655,0.0336,0.5118,0.5129,21.5462,0.1414,1.3381,1.3456,103.8367,0.2187,0.3060,0.3761,3.0000
C8,6,56.4151,0.0243,0.0352,0.0427,12.5537,0.1133,0.4502,0.4643,101.3432,0.3257,0.2126,0.3890,3.0000
C9,6,71.1112,0.0512,0.0284,0.0585,17.3813,0.1132,0.1654,0.2005,101.8622,0.2536,0.7038,0.7481,3.0000
C8,7,55.8622,0.0210,0.0770,0.0798,11.2188,0.1260,0.4837,0.4999,90.2731,0.2203,0.7047,0.7383,3.0000
C9,7,71.5150,0.0470,0.1460,0.1534,14.7334,0.0932,0.2427,0.2600,90.4890,0.1982,0.9675,0.9876,3.0000
C8,8,55.4271,0.0383,0.1403,0.1454,16.3031,0.8346,1.0062,1.3073,100.3687,0.2713,0.5660,0.6277,3.0000
C9,8,72.7532,0.0454,0.3249,0.3281,16.8141,0.1253,0.1699,0.2111,102.4096,0.2168,0.8536,0.8807,3.0000
