filename,power,cell,datagrab,ic_range_min,ic_range_max,bu_range_min,bu_range_max,pl_range_min,pl_range_max,dc_range_min,dc_range_max,P_init_const,P_init_const_err,ic_chi2,ic_ndf,ic_chi2_ndf,P_inf,P_inf_err,P_int,P_int_err,tau_b,tau_b_err,t_offset,t_offset_err,P_offset,P_offset_err,bu_chi2,bu_ndf,bu_chi2_ndf,P_plateau,P_plateau_err,pl_chi2,pl_ndf,pl_chi2_ndf,P0,P0_err,tau,tau_err,c,c_err,t_offset_decay,t_offset_decay_err,dc_chi2,dc_ndf,dc_chi2_ndf
3W_C8_datagrab1,3W,C8,datagrab1,0.000000,21.600000,59.100000,162.800000,114.800000,280.300000,302.300000,928.300000,4.161726,0.114502,5.506486,20,0.275324,49.455776,2.092876,6.980084,5.775721,16.740015,0.463276,62.087222,2.279028,4.084473,2.090168,249.066785,94,2.649647,52.943239,0.045118,49.856319,156,0.319592,45.997533,0.876196,109.164803,0.465850,4.050965,0.033963,295.920023,2.079323,137.107206,592,0.231600
3W_C8_datagrab2,3W,C8,datagrab2,0.000000,16.200000,78.400000,188.800000,140.800000,256.500000,392.500000,928.200000,3.964072,0.094393,1.871126,14,0.133652,49.598353,1.431527,7.765648,4.081146,17.137700,0.348520,81.561862,1.673319,4.169690,1.429829,132.282908,100,1.322829,53.521453,0.060742,44.238005,109,0.405853,44.409655,0.822192,109.786302,0.506345,3.944150,0.040969,388.445772,2.032456,109.901377,506,0.217196
3W_C8_datagrab3,3W,C8,datagrab3,0.000000,51.400000,83.800000,202.300000,154.300000,362.000000,480.000000,1004.800000,4.383706,0.062366,9.148069,48,0.190585,49.596096,1.299604,8.880592,3.798970,16.892109,0.317235,87.037625,1.577307,4.366722,1.298312,124.847976,108,1.156000,53.770171,0.036193,50.579548,196,0.258059,49.447745,0.839253,110.120352,0.473929,3.988972,0.043378,476.617832,1.868920,113.161175,496,0.228148
3W_C9_datagrab1,3W,C9,datagrab1,0.000000,47.100000,77.300000,220.200000,172.200000,358.200000,375.200000,812.200000,2.804539,0.082301,13.411566,44,0.304808,56.060777,0.627709,7.626764,1.661962,30.316790,0.281463,79.898920,1.040637,4.248852,0.626068,45.365333,131,0.346300,59.418292,0.045995,65.904622,176,0.374458,54.187814,0.907302,102.963639,0.479251,2.427855,0.057300,373.718502,1.723930,107.497653,413,0.260285
3W_C9_datagrab2,3W,C9,datagrab2,0.000000,11.600000,70.400000,253.300000,259.300000,394.200000,423.200000,821.400000,2.859747,0.242998,7.794309,11,0.708574,46.424109,0.576316,5.597444,1.486618,42.719797,0.465732,73.187657,1.556293,3.168430,0.574269,63.839747,169,0.377750,49.049735,0.062019,63.511669,128,0.496185,39.648814,0.898544,102.873947,0.707673,2.446692,0.066505,421.014759,2.331256,95.365338,375,0.254308
3W_C9_datagrab3,3W,C9,datagrab3,0.000000,7.100000,35.400000,189.900000,150.900000,315.000000,444.000000,821.500000,3.052404,0.162654,1.111160,6,0.185193,51.595415,0.671326,8.298504,1.870483,30.758730,0.352651,37.534144,1.329345,3.862241,0.669903,61.207217,142,0.431037,56.792213,0.090442,200.339438,156,1.284227,47.974386,0.857285,103.094420,0.586513,2.472990,0.070145,442.117925,1.842224,84.875988,357,0.237748
3W_C9_datagrab4,3W,C9,datagrab4,0.000000,54.000000,93.400000,241.300000,193.300000,336.300000,423.400000,821.000000,3.395286,0.068414,12.412786,51,0.243388,54.988224,0.699823,7.197751,1.928530,29.169810,0.307404,95.733189,1.177600,3.768961,0.698357,60.748658,136,0.446681,59.393796,0.094069,162.467626,135,1.203464,50.527933,0.839571,103.045654,0.519737,2.463561,0.062672,422.073229,1.712162,84.552355,375,0.225473
4W_C8_datagrab1,4W,C8,datagrab1,0.000000,99.200000,141.500000,248.400000,200.400000,345.900000,487.900000,1072.300000,4.009995,0.051841,23.999701,94,0.255316,52.214783,1.791491,7.313188,5.081249,16.377023,0.372972,144.528426,1.855116,4.170000,1.789432,193.445400,97,1.994282,55.765076,0.046613,41.677926,138,0.302014,47.331154,0.914162,117.990797,0.558266,3.753618,0.044475,484.009015,2.278795,161.051744,554,0.290707
4W_C8_datagrab2,4W,C8,datagrab2,0.000000,139.300000,184.600000,291.600000,342.600000,483.500000,506.500000,1066.700000,4.269239,0.048371,41.077353,132,0.311192,51.540668,1.408055,8.913387,4.082892,15.484890,0.297172,187.638270,1.484353,4.509437,1.406613,118.797466,97,1.224716,55.833408,0.050793,46.670161,134,0.348285,46.322452,0.872397,116.691787,0.551400,3.822371,0.044393,502.693834,2.197556,141.720031,537,0.263911
4W_C8_datagrab3,4W,C8,datagrab3,0.000000,135.100000,196.600000,305.300000,257.300000,497.700000,520.700000,1061.600000,4.561151,0.053331,48.436692,130,0.372590,51.182024,1.247105,9.470241,3.752469,14.866553,0.268318,199.992704,1.338379,4.587866,1.245976,99.193846,100,0.991938,55.734958,0.041438,93.618307,233,0.401795,46.271672,0.951549,118.404952,0.638605,3.760431,0.052943,516.960823,2.434793,165.799849,514,0.322568
