Setting (W)	Line	Pmax	σsys	σfit	Pmax σ total	Trelax	σsys	σfit	Tr σ total	Tb	σsys	σfit	Tb σ total
3	c8	53.47	0.36	0.03	0.36	110.17	0.40	0.0053	0.13	15.14	1.15	0.00154	1.15
4	c8	55.79	0.07	0.03	0.07	118.18	0.85	0.0054	0.85	14.01	0.33	0.00143	0.33
5	c8	55.39	0.11	0.03	0.11	102.05	0.83	0.0057	0.83	12.31	0.58	0.00125	0.58
6	c8	56.53	0.06	0.03	0.07	102.08	0.23	0.0059	0.23	12.45	0.40	0.00131	0.40
7	c8	55.93	0.07	0.02	0.07	90.38	0.93	0.0046	0.93	10.34	0.17	0.00121	0.17
8	c8	55.41	0.10	0.03	0.11	100.48	0.41	0.0051	0.41	9.42	0.45	0.00123	0.45
													
3	c9	58.90	1.42	0.03	1.42	103.63	0.17	0.0055	0.17	32.11	2.77	0.00244	2.77
4	c9	67.31	0.09	0.03	0.10	99.29	0.74	0.0043	0.74	22.21	0.40	0.00156	0.40
5	c9	68.91	0.61	0.03	0.61	104.33	0.28	0.0039	0.28	21.72	0.68	0.00143	0.68
6	c9	71.56	0.15	0.03	0.16	101.74	1.03	0.0045	1.03	18.27	0.26	0.00127	0.26
7	c9	72.02	0.03	0.03	0.04	91.02	0.96	0.0039	0.96	15.43	0.27	0.00116	0.27
8	c9	73.11	0.15	0.03	0.16	103.23	0.74	0.0038	0.74	16.66	0.36	0.00125	0.36
